0, 60
1, 69
2, 78
3, 7
4, 46
5, 87
6, 33
7, 25
8, 85
9, 74
10, 79
11, 27
12, 68
13, 64
14, 98
15, 32
16, 28
17, 80
18, 7
19, 0
20, 41
21, 12
22, 97
23, 87
24, 50
25, 4
26, 94
27, 4
28, 36
29, 75
30, 64
31, 57
32, 43
33, 61
34, 21
35, 69
36, 99
37, 79
38, 35
39, 29
40, 7
41, 93
42, 47
43, 89
44, 82
45, 33
46, 39
47, 92
48, 38
49, 33
50, 61
51, 7
52, 11
53, 58
54, 18
55, 46
56, 69
57, 28
58, 1
59, 25
60, 30
61, 50
62, 22
63, 11
64, 72
65, 45
66, 90
67, 0
68, 69
69, 22
70, 80
71, 37
72, 33
73, 42
74, 17
75, 79
76, 54
77, 68
78, 96
79, 71
80, 92
81, 50
82, 81
83, 66
84, 15
85, 48
86, 54
87, 90
88, 68
89, 28
90, 90
91, 64
92, 13
93, 98
94, 1
95, 28
96, 5
97, 95
98, 77
99, 62
100, 10
101, 50
102, 64
103, 2
104, 32
105, 0
106, 93
107, 96
108, 80
109, 68
110, 2
111, 97
112, 57
113, 77
114, 68
115, 89
116, 13
117, 71
118, 7
119, 42
120, 72
121, 10
122, 88
123, 96
124, 69
125, 80
126, 14
127, 28
128, 66
129, 95
130, 0
131, 60
132, 5
133, 76
134, 69
135, 23
136, 46
137, 57
138, 25
139, 26
140, 63
141, 17
142, 70
143, 50
144, 41
145, 36
146, 78
147, 58
148, 99
149, 25
150, 24
151, 80
152, 77
153, 15
154, 18
155, 60
156, 27
157, 0
158, 12
159, 59
160, 30
161, 73
162, 50
163, 13
164, 7
165, 43
166, 48
167, 92
168, 47
169, 80
170, 2
171, 90
172, 83
173, 82
174, 14
175, 45
176, 67
177, 98
178, 28
179, 17
180, 40
181, 16
182, 60
183, 71
184, 41
185, 2
186, 94
187, 96
188, 99
189, 88
190, 87
191, 2
192, 25
193, 80
194, 83
195, 0
196, 51
197, 90
198, 23
199, 77
200, 28
201, 43
202, 64
203, 26
204, 27
205, 46
206, 7
207, 35
208, 44
209, 75
210, 94
211, 73
212, 35
213, 80
214, 98
215, 95
216, 34
217, 51
218, 39
219, 42
220, 87
221, 36
222, 59
223, 70
224, 96
225, 67
226, 13
227, 43
228, 52
229, 14
230, 35
231, 48
232, 6
233, 56
234, 1
235, 46
236, 71
237, 36
238, 9
239, 68
240, 74
241, 14
242, 86
243, 63
244, 23
245, 79
246, 83
247, 98
248, 8
249, 73
250, 43
251, 62
252, 10
253, 44
254, 6
255, 56
256, 5
257, 49
258, 65
259, 28
260, 88
261, 91
262, 83
263, 35
264, 77
265, 12
266, 65
267, 71
268, 97
269, 76
270, 23
271, 44
272, 26
273, 19
274, 30
275, 57
276, 89
277, 50
278, 84
279, 4
280, 55
