0, 5228, 47
1, 1302, 35
2, 9308, 45
3, 2188, 21
4, 6028, 52
5, 178, 16
6, 9313, 31
7, 8346, 42
8, 8891, 67
9, 4475, 13
10, 1112, 62
11, 5124, 45
12, 453, 46
13, 3940, 52
14, 1829, 46
15, 7833, 4
16, 1547, 61
17, 4899, 65
18, 7217, 99
19, 9934, 94
20, 7583, 83
21, 9086, 22
22, 4783, 4
23, 9958, 72
24, 7305, 56
25, 2191, 14
26, 9675, 33
27, 9001, 69
28, 8748, 74
29, 7361, 64
30, 3498, 10
31, 6479, 21
32, 352, 61
33, 8172, 32
34, 982, 63
35, 9708, 43
36, 2570, 31
37, 4257, 47
38, 9226, 19
39, 5394, 33
40, 9244, 79
41, 8131, 14
42, 895, 3
43, 9769, 43
44, 2980, 72
45, 9806, 66
46, 5413, 54
47, 2983, 32
48, 7937, 76
49, 3838, 99
50, 5018, 17
51, 4779, 33
52, 2271, 35
53, 3140, 88
54, 3177, 94
55, 798, 49
56, 6463, 7
57, 2437, 49
58, 1450, 2
59, 959, 6
60, 2015, 40
61, 4640, 14
62, 5458, 99
63, 4522, 26
64, 1532, 52
65, 1442, 74
66, 14, 89
67, 4715, 75
68, 2644, 93
69, 2475, 70
70, 8016, 8
71, 5292, 72
72, 1470, 54
73, 3602, 3
74, 6704, 15
75, 307, 28
76, 950, 19
77, 6366, 15
78, 4792, 37
79, 3441, 49
80, 3214, 18
81, 7347, 11
82, 8610, 1
83, 6512, 16
84, 6918, 60
85, 3717, 49
86, 3769, 20
87, 9075, 69
88, 8126, 21
89, 6139, 70
90, 8146, 9
91, 2642, 89
92, 3143, 75
93, 8634, 30
94, 7491, 84
95, 770, 49
96, 6358, 68
97, 2071, 95
98, 9059, 12
99, 3967, 12
100, 7610, 50
101, 7077, 66
102, 73, 44
103, 1816, 40
104, 3081, 35
105, 9674, 92
106, 6925, 7
107, 4238, 90
108, 9088, 0
109, 8866, 6
110, 6084, 89
111, 4542, 59
112, 6118, 30
113, 8105, 20
114, 1749, 1
115, 741, 81
116, 7514, 57
117, 3849, 66
118, 8725, 91
119, 5450, 7
120, 1391, 31
121, 6861, 78
122, 2288, 4
123, 1395, 21
124, 8190, 86
125, 9740, 21
126, 5576, 75
127, 1247, 58
128, 9694, 95
129, 3124, 97
130, 8492, 73
131, 8415, 16
132, 8932, 97
133, 5230, 60
134, 7280, 94
135, 4671, 85
136, 130, 62
137, 9216, 69
138, 7293, 0
139, 9234, 61
140, 6342, 33
141, 7144, 10
142, 1795, 79
143, 3128, 26
144, 1088, 37
145, 388, 13
146, 4160, 65
147, 5007, 25
148, 3197, 76
149, 3222, 73
150, 198, 25
151, 7383, 61
152, 4341, 83
153, 6271, 69
154, 7530, 49
155, 7581, 34
156, 7322, 20
157, 896, 58
158, 2017, 66
159, 7918, 65
160, 8853, 74
161, 2456, 12
162, 3133, 87
163, 1030, 70
164, 1107, 35
165, 1438, 48
166, 5672, 95
167, 7220, 5
168, 9986, 72
169, 7511, 32
170, 871, 23
171, 1644, 11
172, 7564, 45
173, 4416, 72
174, 4724, 52
175, 5020, 27
176, 2371, 99
177, 6108, 5
178, 6049, 78
179, 2011, 50
180, 7621, 77
181, 875, 46
182, 9092, 19
183, 8862, 57
184, 8323, 95
185, 7950, 25
186, 7404, 51
187, 4957, 1
188, 7257, 70
189, 5592, 81
190, 9620, 31
191, 5635, 73
192, 3521, 74
193, 8846, 27
194, 8465, 31
195, 4685, 57
196, 566, 65
197, 8860, 32
198, 1977, 83
199, 2336, 89
200, 8760, 82
201, 4780, 62
202, 7099, 24
203, 2216, 25
204, 4210, 79
205, 7147, 32
206, 2166, 36
207, 1935, 94
208, 3532, 31
209, 6819, 53
210, 8964, 88
211, 6294, 77
212, 2154, 46
213, 7874, 34
214, 6312, 49
215, 9944, 5
216, 5844, 3
217, 3780, 36
218, 6107, 79
219, 8373, 32
220, 2890, 92
221, 937, 25
222, 9445, 69
223, 5901, 79
224, 5201, 27
225, 3296, 55
226, 8379, 73
227, 9906, 2
228, 966, 37
229, 1510, 77
230, 8392, 29
231, 2598, 53
232, 1387, 71
233, 8169, 64
234, 1770, 66
235, 5318, 17
236, 493, 29
237, 5539, 53
238, 8517, 43
239, 4563, 84
240, 9078, 86
241, 2966, 28
242, 7083, 74
243, 2588, 52
244, 5008, 22
245, 9011, 42
246, 8897, 24
247, 5118, 63
248, 8980, 12
